aging_step,sample_id,filename,excitation_nm,blue_430_450,green_510_550,red_660_690,red_670_680,red_blue_ratio,green_blue_ratio,red_fraction,green_fraction,blue_fraction
0,Q1,20210512_0752_AS0_Q1K2V1U0.csv,360.0,8.057046413454545,36.813984825238094,172.46433544125,232.66647593333334,21.40540423496191,4.569166283961437,0.7935401314339917,0.1693879159542522,0.037071952607154936
0,K2,20210512_0752_AS0_Q1K2V1U0.csv,360.0,4.231753696090909,19.335577872857144,166.034501065625,190.6058324,39.23538867107609,4.569164289062773,0.8757009294564891,0.10197991023652905,0.022319160301707698
0,V1,20210512_0752_AS0_Q1K2V1U0.csv,360.0,5.5288494717272725,28.360737936666666,169.52983569,206.29650878333334,30.662769266238364,5.129591260634714,0.8334004349582933,0.13942000967532567,0.027179555361465112
0,U0,20210512_0752_AS0_Q1K2V1U0.csv,360.0,5.961187254454545,32.86570049428571,217.934604411875,263.89755503333333,36.55892611198595,5.513281010290907,0.8487822787487885,0.12800089381626906,0.023216827431047766
0,Q1,20210512_0752_AS0_Q1K2V1U0.csv,370.0,7.688883088181818,41.031988779047616,237.861657625,319.90030163333336,30.935788054791598,5.3365343578678175,0.8299935730402559,0.14317686724171722,0.026829559714537553
0,K2,20210512_0752_AS0_Q1K2V1U0.csv,370.0,3.4321570396363636,17.84114033952381,208.8205177825,239.4510905,60.8423552040562,5.198229605547375,0.9075451143042613,0.07753854803490211,0.01491633765649055
0,V1,20210512_0752_AS0_Q1K2V1U0.csv,370.0,4.849273291454545,27.781502678095237,213.210186484375,259.6846924,43.96745112636349,5.729003296498709,0.8672687592632873,0.11300599542352105,0.019725245309124045
0,U0,20210512_0752_AS0_Q1K2V1U0.csv,370.0,5.105897188272727,32.02046467047619,272.451384538125,331.22023265,53.360139156451055,6.2712709409327365,0.8800741904360478,0.10343270807754705,0.01649310148317493
0,X0,20210512_0915_AS0_X0S0V2W2.csv,360.0,14.65233378090909,41.33058293761905,127.12469935625,175.62031936666668,8.676071760882763,2.8207508478034398,0.6942622162894639,0.22571744323575596,0.08002034046931886
0,S0,20210512_0915_AS0_X0S0V2W2.csv,360.0,2.0966092239090908,17.437806583333334,178.973693610625,186.74891408333335,85.36340081131966,8.317146741586734,0.901593865029346,0.08784430336061595,0.010561831605000498
0,V2,20210512_0915_AS0_X0S0V2W2.csv,360.0,5.964217511090909,29.696239107619046,180.6378099925,220.21979015,30.28692525487267,4.9790670859031545,0.8351329523891019,0.13729300549994655,0.02757404210632833
0,W2,20210512_0915_AS0_X0S0V2W2.csv,360.0,3.4665586948181817,28.560166494761905,169.108830456875,186.79447683333333,48.78291276616094,8.238766165769796,0.840770444154013,0.14199461851897227,0.017234937322043006
0,X0,20210512_0915_AS0_X0S0V2W2.csv,370.0,14.549983111818182,46.119159517142855,185.843364958125,256.7539901833333,12.772754684120663,3.1697053638854737,0.7538902053142996,0.18708648891035742,0.05902330577128649
0,S0,20210512_0915_AS0_X0S0V2W2.csv,370.0,1.6579515824545454,14.857271740952381,195.29168557875,205.9033661,117.79094608531076,8.961221720356534,0.9220269848139937,0.07014535936476687,0.007827655816518241
0,V2,20210512_0915_AS0_X0S0V2W2.csv,370.0,5.298870021545454,28.815134774761905,224.767398348125,274.9270731666667,42.41798673902025,5.4379772766948875,0.8682253557697884,0.11130631410621013,0.020468330120138826
0,W2,20210512_0915_AS0_X0S0V2W2.csv,370.0,2.9002130789090907,25.76982816142857,201.24325322625,223.33535258333333,69.38912682669444,8.885494772762126,0.8753006375393422,0.11208498499881879,0.012614377457489534
0,F0,20210512_1045_AS0_F0P2A0G1.csv,360.0,1.2148204283727273,14.01440924695238,114.38855874375,109.6064593,94.16087841296391,11.536198196953867,0.8825066384640889,0.10812103352306418,0.00937232800513187
0,P2,20210512_1045_AS0_F0P2A0G1.csv,360.0,1.9100800318181819,16.150420415714287,149.657196289375,159.27952323333332,78.35126995624726,8.455363198517674,0.8923160715904916,0.09629526716523276,0.011388661238313242
0,A0,20210512_1045_AS0_F0P2A0G1.csv,360.0,3.7791600659999998,27.680728276666667,167.476923705,195.99159241666666,44.315911667099016,7.324571541273821,0.8418598950104292,0.1391433188840637,0.018996786100480438
0,G1,20210512_1045_AS0_F0P2A0G1.csv,360.0,6.466113177272727,25.821896234761905,185.008252863125,229.7103246,28.61197256564966,3.993418537975487,0.85141019419837,0.11883267555677106,0.02975713024025701
0,F0,20210512_1045_AS0_F0P2A0G1.csv,370.0,0.9901654042818182,12.56122602757143,130.86644232125,125.639113095,132.16624376409428,12.685987573961228,0.9061653877461777,0.08697835787344052,0.006856254373457428
0,P2,20210512_1045_AS0_F0P2A0G1.csv,370.0,1.4723203507454545,13.70166497095238,171.219284775625,183.29685973333332,116.292140207559,9.30617100735508,0.9185915601207408,0.07350944035546307,0.007898999518431125
0,A0,20210512_1045_AS0_F0P2A0G1.csv,370.0,3.3875867236363635,26.670471827619046,206.3657479275,242.90726725000002,60.91821839621009,7.8730004559461,0.8728636553153998,0.11280789453790813,0.014328450142462439
0,G1,20210512_1045_AS0_F0P2A0G1.csv,370.0,5.930395863272727,26.857360294761904,255.638409125,318.53187305,43.106466242005276,4.528763493945197,0.8863218386350417,0.09311693434024429,0.020561227021246933
0,I0,20210512_1208_AS0_I0T1N0H2.csv,360.0,6.617435802181818,27.619341713809522,201.24551773,244.12286121666665,30.411404615853836,4.17372265259143,0.8546099719255698,0.11728840032258181,0.02810162774760183
0,T1,20210512_1208_AS0_I0T1N0H2.csv,360.0,6.562284382727273,34.76978610761905,126.965600254375,161.78636551666668,19.347774773250617,5.29842720529438,0.754410917820756,0.20659695379951068,0.038992128373791575
0,N0,20210512_1208_AS0_I0T1N0H2.csv,360.0,6.912517981181818,27.379657200476192,162.173547278125,203.8386307,23.460849967574,3.960880430409278,0.8254546658157982,0.13936098805195654,0.03518434612715529
0,H2,20210512_1208_AS0_I0T1N0H2.csv,360.0,1.690253637,24.67429687857143,120.361961711875,131.60230762166668,71.209408461498,14.597984778052243,0.8203150193093732,0.16816522456524208,0.011519756118569445
0,I0,20210512_1208_AS0_I0T1N0H2.csv,370.0,5.649417660363636,26.369490395714287,248.41563154625,302.75703431666665,43.97190054563754,4.667647530480037,0.8858239498516538,0.09403082242655875,0.020145227718221463
0,T1,20210512_1208_AS0_I0T1N0H2.csv,370.0,6.2647998766363635,36.90626753047619,177.8878204825,227.8395335,28.394812916133404,5.891052906928689,0.8047078413355854,0.16695219940099704,0.028339959258893946
0,N0,20210512_1208_AS0_I0T1N0H2.csv,370.0,6.759787039363636,30.11671656809524,232.98648762312502,294.59420775,34.466542545191146,4.455275941130113,0.8633510158611813,0.1116000250002805,0.025048959134832613
0,H2,20210512_1208_AS0_I0T1N0H2.csv,370.0,1.4032165896181819,22.31653690285714,141.113487244375,154.83166249166666,100.56429505455603,15.903843392434288,0.8560984823977401,0.13538857091543333,0.008512946680759909
0,X1,20210512_1335_AS0_X1K0Q0W0.csv,360.0,14.430386196363637,40.12698772857143,119.995188349375,165.58772150000001,8.315452317644663,2.7807286083516214,0.6874444395729616,0.22988483930291337,0.08267072111839617
0,K0,20210512_1335_AS0_X1K0Q0W0.csv,360.0,4.328625852363636,19.130307560000002,161.246820686875,185.63457616666668,37.25127237817869,4.419487432745996,0.872992947471292,0.1035718007443239,0.023435251778970125
0,Q0,20210512_1335_AS0_X1K0Q0W0.csv,360.0,7.886326139636363,38.54571733095238,179.53673338625,240.90883891666667,22.765572991096565,4.887664629076835,0.794520092035547,0.1705798379180599,0.034900070041967796
0,W0,20210512_1335_AS0_X1K0Q0W0.csv,360.0,3.206530711909091,28.16976747142857,159.732325063125,173.97080483333332,49.81468738785587,8.785123235533224,0.8358195582639454,0.14740186493286656,0.016778576797955476
0,X1,20210512_1335_AS0_X1K0Q0W0.csv,370.0,14.679694524545456,45.78234391,180.0415961775,248.73924255,12.264669122657384,3.118753175028951,0.7486023920893133,0.19036029947597585,0.06103730843055291
0,K0,20210512_1335_AS0_X1K0Q0W0.csv,370.0,3.445458152,17.902276628095237,207.237585793125,238.53400421666666,60.14804899391416,5.195905982055686,0.9066093363849069,0.07831770029293057,0.01507296331778786
0,Q0,20210512_1335_AS0_X1K0Q0W0.csv,370.0,7.3993312662727275,42.198490324285714,243.569256300625,326.79126229999997,32.91773911757848,5.703014069788956,0.8308206298327987,0.14394007208341736,0.02523929808037293
