eem_mean,eem_max,eem_std,eem_total,chlorophyll_mean,chlorophyll_max,uv_mean,mid_ex_mean,chlorophyll_ratio,aging_step,filename
19.256243705006497,599.925415,52.3449288012941,611636.0688021213,32.90910280936163,418.1208191,1.3816966332591076,3.6906904092076736,23.817720793405407,0,20210512_0752_AS0_Q1K2V1U0.csv
18.07775778355596,640.5464478,48.52511515730267,575360.7969772356,35.844667624089844,459.1464844,1.5627948402283187,3.8376758207988293,22.936112495564767,0,20210512_0915_AS0_X0S0V2W2.csv
18.51435486806563,693.0806274,51.243952128203105,589367.4585151332,28.055563443541914,361.8749695,0.7711975190200399,3.1874439695742787,36.37874729125001,0,20210512_1045_AS0_F0P2A0G1.csv
17.482900908904966,615.0595703,48.19439350624109,551690.4210814051,38.75474276016833,456.9549561,1.3712744170388964,4.009986097310043,28.26163724944382,0,20210512_1208_AS0_I0T1N0H2.csv
17.862036456467017,620.4932861,49.64493141844264,563600.8363109038,35.8104153304145,457.4339905,1.5078044677581273,3.8106665912643307,23.74988176341,0,20210512_1335_AS0_X1K0Q0W0.csv
18.116799762021966,614.8679199,48.70688935565769,573541.6468660914,28.778925480969598,372.7391357,0.6453281551756175,3.823425335776825,44.59510916898741,0,20210512_1530_AS0_T0W1U1V0.csv
17.596845315243428,587.4533691,48.43943219103808,557010.5416087154,10.98628177868976,180.3039398,0.7920179304550597,4.703956232060419,13.871078728723102,0,20210513_0735_AS0_D2E2M0X2.csv
18.064136813553215,538.1126709,49.495009210241236,571766.0584225864,26.376162132217413,353.4220886,0.8059609423943347,3.3659523139788403,32.725946736814784,0,20210513_0905_AS0_B2C2J2L2.csv
18.24645973340715,609.2700195,49.48142297133726,577409.2182636693,36.17240404740411,452.5723877,0.9679572255830678,2.834805947889848,37.36945124935938,0,20210513_1030_AS0_O0R2T2R1.csv
18.855753371692305,622.4684448,51.59140644119312,597331.4110618406,36.83653144485893,464.5380859,0.9146798870010039,3.6320367149150634,40.27215340232411,0,20210513_1225_AS0_N1U2Q2R0.csv
18.03776511181522,623.9395752,49.59646187675021,568893.0738615402,26.429141989504146,359.0674438,1.1493199158320677,3.6339185675544226,22.995261521902115,0,20210513_1355_AS0_L0P0O1L1.csv
19.98736361640857,647.9593506,53.31935252089623,637936.6845449123,44.32667773065876,485.8624878,1.0745956659920837,4.4305509175706215,41.24924996532197,0,20210513_1518_AS0_O2M1M2S2.csv
18.595190337637415,574.480835,51.397190655613485,588705.130899263,28.44522350777932,373.8528748,0.83905461645149,4.38463286475094,33.90111196450847,0,20210514_0742_AS0_A1A2B0B1.csv
18.044260330051785,587.3938599,48.406079590096454,570974.5296238286,31.597555949342546,431.4628906,0.7352723478830279,2.895481647159669,42.973363960546536,0,20210514_0909_AS0_C0C1D0D1.csv
18.367001023127646,698.5302734,50.97296418697803,580489.0673359493,42.824237727301444,531.8031006,0.9118098943128367,2.9017774941130074,46.96567600071343,0,20210514_1041_AS0_E0E1F1F2.csv
18.004315127599614,643.1461792,50.22992393896044,568990.3709775306,38.69461145948988,478.5901489,0.7563425521433348,2.222343175174881,51.15949083511117,0,20210514_1224_AS0_G0G2H0H1.csv
19.584039117450303,555.1174316,52.01814595350169,621107.8006099364,27.533194402515814,391.9434204,1.1662773672460158,3.4592851169767806,23.60755605844437,0,20210514_1401_AS0_I1I2J0J1.csv
19.631145974598567,666.4023438,52.665221633042634,625036.0566852437,45.36375296826578,505.4073792,0.7805104014650599,3.7940412428232473,58.11988114995671,0,20210514_1528_AS0_K1N2P1S1.csv
17.083714195561512,588.7014771,47.077376567039174,540494.5497191751,10.961297585844303,180.9464569,0.7323250558406056,3.7588367031239724,14.967599186225568,1,20210519_0750_AS1_C2A1V2X0.csv
18.71484631428346,678.4368286,50.68804180633065,595637.4136446996,46.46924386210227,496.822998,0.574336463075012,3.4726499081832953,80.90803521851444,1,20210519_0915_AS1_W2T0U2S1.csv
18.01788238541484,685.7641602,50.57770864572089,568824.5469075465,27.743958798389997,369.2416992,0.7151210504694421,2.659132091973745,38.79562882939805,1,20210519_1037_AS1_D0E1F2G2.csv
16.017744071572128,538.6444092,45.05789013288363,502957.16384736483,29.300587204054825,385.2194214,0.9647188846837849,2.702986236376634,30.37183572424999,1,20210519_1200_AS1_V1X2X1U0.csv
18.0879528287389,630.6618652,49.20872468407859,573370.0167181944,27.319472021010956,357.2588501,0.8360148652633068,3.081585233253283,32.67782234252885,1,20210519_1324_AS1_U1W1W0V0.csv
18.121391122565292,658.1782837,48.88447169865225,575281.6825769577,45.59551642466415,489.2163391,0.6221690519139362,2.903821703827132,73.28359301780417,1,20210519_1448_AS1_T1R0T2S2.csv
19.445217281832754,598.489563,53.2107247104498,620749.671287947,31.309818533732678,394.8965454,1.734641280660458,4.113292346648403,18.049632731837406,1,20210520_0742_AS1_Q0K0N0I0.csv
19.880350586887015,688.3228149,54.1987441922169,631519.2167430529,31.166676270591157,436.163208,1.3679581223288448,4.231511456765271,22.78318899532004,1,20210520_0906_AS1_S0P1N2K2.csv
18.47442914396893,641.9489136,50.97432637186419,583311.625791675,38.573103689796376,476.285614,0.7774244102537132,3.435538223677044,49.61589451283507,1,20210520_1029_AS1_O2M0J1H0.csv
18.732341553464533,631.8222046,51.25207856865423,593983.8183188068,40.76930414923135,472.4818726,0.8181996742544224,4.142468910936159,49.827453074765444,1,20210520_1153_AS1_B2L1R2P2.csv
19.013021250655395,637.3334961,51.83808692755576,600031.9376494336,32.03302096782016,414.897522,0.7114779694147092,3.8249028448420277,45.022575707318644,1,20210520_1319_AS1_R1O1Q1Q2.csv
18.304245366339327,696.7872925,51.29020701797151,579091.4106548773,24.433185364285617,353.5085144,0.5085687943839482,3.5153533805085018,48.04208440086857,1,20210520_1445_AS1_P0F1C1N1.csv
18.981982691020477,590.2794189,52.9847101258254,601690.8873399671,26.493053056790476,370.848053,0.8135922524206732,4.2129857901732075,32.56265942967454,1,20210521_0802_AS1_O0L2K1L0.csv
19.2960158526482,725.7365112,52.75841065418933,614423.736780024,31.016765494568844,414.9874878,0.7038528312932192,2.901122902513498,44.066491531569035,1,20210521_0926_AS1_M1I2F0A0.csv
18.288822171694363,638.0115356,50.108616949201,577268.3830273609,32.75029370549403,431.4034729,0.6367915237738248,3.4703879150031436,51.42935825814085,1,20210521_1050_AS1_H1C0J2M2.csv
18.853258844576605,600.5079346,51.41840966071376,593934.2133806967,31.266702746524544,418.2501526,1.3179883238981673,3.161901406703697,23.722869885030526,1,20210521_1212_AS1_I1G0D1A2.csv
18.29631379843121,640.0719604,50.606805365937646,576590.0330437612,38.42654868176355,476.7287903,0.8036616043106375,3.0439718699326175,47.81374441457908,1,20210521_1335_AS1_J0G1D2H2.csv
18.553460475978028,569.854126,51.92790204462626,584526.7722956878,27.010121162881074,365.8288879,0.7776678333235856,4.079082448531374,34.73176166979981,1,20210521_1504_AS1_E2E0B0B1.csv
18.716495960325833,672.6810913,51.38790950380269,595016.1230747185,42.60660942404343,491.826355,1.2937250121993624,5.0206461233576505,32.93302648709473,2,20210526_0808_AS2_X2U1S0P0.csv
18.710621924154033,644.4837646,50.81613765586686,591555.0227540539,23.945729967931197,354.1503601,0.6259253440358088,4.233539143304339,38.25591604004598,2,20210526_0933_AS2_V0S2Q1N2.csv
18.491482793668048,719.895874,51.29943041392065,585107.4985572444,23.661942972658007,341.1017151,0.5069640474301593,2.732038122814147,46.67288807504032,2,20210526_1056_AS2_K0I2F2C1.csv
17.763227172792877,629.2232056,48.555974220078205,559399.5501255933,20.778114696771194,317.2795715,0.7748566284065935,3.8679913826439565,26.815085248281406,2,20210526_1219_AS2_A2W0Q0T2.csv
16.994132633929542,714.9518433,48.96383668250286,532698.0815431555,42.101211499027414,532.7962036,1.3858805662718285,3.574617400742211,30.378453049351144,2,20210526_1344_AS2_X0N1L1F0.csv
18.48939781913521,616.0586548,51.5283014440652,584394.3968694066,31.63472936938964,444.9464417,1.0163526509951435,3.2045112003287852,31.12543474360787,2,20210526_1509_AS2_N0K1A1D2.csv
19.00248720451246,742.0272217,52.83239360766221,605419.2423357669,29.37812825203916,392.4377441,0.8779825230929482,3.660094868364873,33.460567692020156,2,20210527_0830_AS2_H1F1C0I1.csv
18.826899764903764,557.0499268,52.886565468710565,595005.3401700186,27.327338447037775,393.6208801,0.594710373701514,3.590373916192506,45.94989453102741,2,20210527_0954_AS2_G0B0E0J1.csv
18.176307149098864,626.3567505,50.30314775651654,573244.37486828,20.21681243803725,308.5819397,0.7408378713250916,4.055484434480023,27.28875012069233,2,20210527_1121_AS2_O1M0R2T0.csv
18.391069028948703,647.1548462,49.160237825921406,582500.3293538922,26.96291276921036,360.9053345,1.548264656286056,3.1162989056352037,17.414812455748642,2,20210527_1245_AS2_Q2V2W2V1.csv
18.19738999811138,585.6154175,50.47589544948045,573399.7588404896,29.31642573164558,393.882782,1.1464688485113943,3.4584117082068055,25.57083872040943,2,20210527_1414_AS2_L2A0O2I0.csv
18.047350637886385,649.9724121,49.6587570428092,570548.9430661402,36.39808781516366,470.7310791,0.7330312006882869,3.2701966320999643,49.65353622823354,2,20210527_1537_AS2_D1T1W1R0.csv
18.50746401174241,590.0597534,51.425819907396615,585946.3106117647,30.66384686749024,425.8464966,0.9331953537860838,3.7936451322126254,32.858627249709535,2,20210528_0810_AS2_B1B2C2D0.csv
17.860308360919497,530.6463013,50.65337145595439,561974.6025763319,25.74674679447542,356.7040405,0.6702491086747808,4.124671262481034,38.413124806884355,2,20210528_0937_AS2_E1E2G1G2.csv
18.43283704175876,625.0071411,51.31386484582913,583085.9341419549,27.647256442181952,402.8036804,0.6757395551661434,3.5567292229438805,40.91346598871893,2,20210528_1102_AS2_H0H2J0J2.csv
18.89472993754036,614.2959595,52.00428976957251,598849.5706404042,31.92241075812187,431.606842,0.5444461546527251,4.3036514779824895,58.63173826822328,2,20210528_1227_AS2_K2L0M1M2.csv
19.459114108380646,666.8104248,52.84490473469721,617807.4138269771,43.01843980946399,490.8513184,0.7304279661759561,3.4093731858437577,58.89403590927423,2,20210528_1353_AS2_O0P1P2S1.csv
17.89086496760001,632.1849365,50.10137929111122,563508.5738844975,10.986719322854062,179.9918365,0.9985765042435977,3.9820273280308127,11.00227098620385,2,20210528_1518_AS2_U0U2R1X1.csv
